full_name,channel
Casey Barber,cnn
Nic Robertson,cnn
Dennis Lapin,cnn
Scott Mclean,cnn
Sarah Dean,cnn
Rob Picheta,cnn
Tierney Sneed Veronica Stracqualursi,cnn
Claudia Dominguez,cnn
Jessie Yeung Yong Xiong,cnn
Yong Xiong,cnn
Mark Morales,cnn
Skyler Shepard,cnn
Luli Ortiz,cnn
Hafsa Khalil,cnn
Angela Dewan,cnn
Sonia Moghe,cnn
Raja Razek Steve Almasy,cnn
Raja Razek,cnn
Steve Almasy,cnn
Pete Muntean,cnn
Gregory Wallace,cnn
Carolyn Gusoff,cnn
Carolyn Gusoff Has,cnn
Jozuka Junko,cnn
Junko Ogura,cnn
Ben Morse,cnn
Shania Shelton,cnn
Eric Bradner,cnn
Hilary Whiteman,cnn
Betsy Klein,cnn
Diksha Madhok,cnn
Marissa Perlman,cnn
Samantha Sosa,cnn
John Lauritsen,cnn
Alberto Mier,cnn
Emma Beinish,cnn
Ben Church,cnn
Liam Reilly,cnn
Wayne Sterling,cnn
Sean Lyngaas,cnn
Peter Bergen,cnn
Andrea Smith,cnn
Sophie Shaw,cnn
Melissa Holzberg,cnn
Andrew Millman,cnn
Theresa Waldrop,cnn
Holly Johnson,cnn
Andrew Medland,cnn
Geoff Murray,cnn
Judson Jones Amir Vera,cnn
Arick Wierson,cnn
Ariel Edwards-Levy,cnn
Lindsay Boyers,cnn
Kacey Cherry,cnn
Kristin Wilson,cnn
Clare Foran,cnn
Edward-Isaac Dovere,cnn
Jacqueline Howard Katherine Dillinger,cnn
Hannah Rabinowitz,cnn
Chris Liakos,cnn
Anna Chernova,cnn
Katherine Clayton Robb Willer,cnn
Katherine Clayton,cnn
Robb Willer,cnn
Alisha Ebrahimji,cnn
Jason Morris,cnn
Jennifer Henderson,cnn
Marnie Hunter Forrest Brown,cnn
Alexandra Koehn,cnn
Naomi Keitt,cnn
Vanessa Araiza,cnn
Claire Helm,cnn
Chris Gothner,cnn
Laura Ly,cnn
Emily Chang,cnn
Michelle Watson Jacquelyne,cnn
Caroll Alvarado,cnn
Jill Filipovic,cnn
Andrew Kaczynski,cnn
Jason Cipriani,cnn
Lala Tanmoy Das,cnn
Hannah Strange,cnn
Jimin Lee,cnn
Stephanie Elam,cnn
Yenny Sanchez,cnn
Sarah Molano,cnn
Amy Simonson,cnn
Kara Scannell,cnn
Jacquelyne Germain,cnn
Sasha Dovzhyk,cnn
Dave Alsup,cnn
Robert Shackelford,cnn
Mike Saenz,cnn
Elizabeth Wolfe Jarrod Wardwell,cnn
Elizabeth Wolfe,cnn
Jarrod Wardwell,cnn
Neeraj G Patel,cnn
Rukshana Rizwie,cnn
Silvia Marchetti,cnn
Sam Whitehead,cnn
Yoonjung Seo,cnn
Afshar Elizabeth Wolfe,cnn
Rosa Prince,cnn
Jessie Yeung Junko Ogura,cnn
Kent Sepkowitz,cnn
Leah Dolan,cnn
Jason Hanna,cnn
Daniel Dahm,cnn
Tami Luhby,cnn
Amanda Batchelor,cnn
Michelle Toh,cnn
Dianne Gallagher,cnn
Jason Carroll,cnn
Rebekah Riess,cnn
Mark Zandi,cnn
Rebecca Cairns,cnn
Eliza Mackintosh Hafsa Khalil,cnn
Eliza Mackintosh,cnn
Jermont Terry,cnn
Ben Krumholz,cnn
Gaborr Melanie Zanona,cnn
Anna Bahney,cnn
Brittany Taylor,cnn
Moriah Ballard,cnn
Tara John Jack Guy,cnn
Sharon Braithwaite,cnn
Tara John,cnn
Ashley Mateo,cnn
Megan Marples,cnn
Rosa Flores Rebekah Riess,cnn
Rosa Flores,cnn
Tim Kephart,cnn
Luke Mcgee,cnn
Ted Barrett,cnn
Kayla Molander,cnn
Camryn Justice,cnn
Jeanne Sahadi,cnn
Marika Gerken,cnn
Alicia Barrera,cnn
Adam B Higgins,cnn
Rachel Janfaza,cnn
Jeremy Herb Marshall Cohen,cnn
Marshall Cohen,cnn
Elizabeth Cohen,cnn
Danielle Herman,cnn
Michael Warren,cnn
Dan Merica,cnn
Ren Marsh,cnn
Ali Zaslav,cnn
Morgan Rimmer,cnn
Jessica Dean,cnn
Jennifer Hauser,cnn
Evan Perez Kara Scannell,cnn
Van Jones,cnn
Fredreka Schouten,cnn
Amy Simonson Rebekah Riess,cnn
Natasha Bertrand,cnn
Esha Mitra,cnn
Cheri Mossburg,cnn
Jamiel Lynch,cnn
Greg Wallace,cnn
Marina Zhavoronkova,cnn
Marcella Bombardieri,cnn
Amanda Jackson,cnn
Brian Stelter,cnn
Katharina Krebs,cnn
Zahra Ullah,cnn
Matthew Chance,cnn
Matt Foster,cnn
Sam Fossum,cnn
Kara Fox,cnn
Nadeau Nicola Ruotolo,cnn
Nell Lewis,cnn
Leif Coorlim,cnn
Bill Kirkos,cnn
Omar Jimenez,cnn
